,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
0,N/A,N/A,amzn,N/A,N/A,N/A,N/A,N/A,35.49,175.92,3.13,20.60,1.81,2.89,3.62,14.18,299.84,446500000000.0,438800000000.0,81.09,4.94,3.08,35.94,3.08,47720000000.0,35.94,2580000000.0,5.31,41.10,22.60,21530000000.0,45.04,7690000000.0,1.05,45.34,16809999999.999998,1.40,17.82,67.50,5490000.0,2.09,1.62,5910000.0,N/A
1,N/A,N/A,syy,N/A,N/A,N/A,N/A,N/A,327.62,30.16,0.56,12.07,1.94,4.17,9.00,31.55,95.24,29880000000.0,36070000000.0,20.11,1.79,0.68,12.02,0.68,9040000000.0,12.02,1030000000.0,1.83,1.00,10.70,847290000.0,1.57,8369999999.999999,1.59,4.58,2069999999.9999998,0.40,7.16,76.70,13280000.0,4.42,2.63,13150000.0,N/A
2,N/A,N/A,tif,N/A,N/A,N/A,N/A,N/A,36.56,26.05,2.88,3.82,11.15,18.66,9.13,14.98,31.99,11540000000.0,11490000000.0,21.41,3.06,2.87,12.03,2.87,2490000000.0,12.03,446100000.0,3.55,3.30,1.30,985800000.0,7.91,1110000000.0,5.65,24.20,702100000.0,1.87,13.20,80.90,8560000.0,3.72,7.85,11230000.0,N/A
3,N/A,N/A,ups,N/A,N/A,N/A,N/A,N/A,310.36,27.44,1.51,167.60,5.59,8.80,8.76,227.50,70.29,93250000000.0,102670000000.0,16.66,2.14,1.66,13.40,1.66,47080000000.0,13.40,3460000000.0,3.91,2.40,6.20,3720000000.0,4.25,12940000000.0,1.01,0.64,4040000000.0,0.87,0.06,69.10,8330000.0,2.66,1.21,8460000.0,N/A
4,N/A,N/A,ksu,N/A,N/A,N/A,N/A,N/A,57.19,19.01,4.08,2.34,21.71,35.21,6.09,11.90,22.24,9720000000.0,11950000000.0,16.10,1.52,5.02,10.41,5.02,1640000000.0,10.41,516700000.00000006,4.82,36.00,8.30,123100000.0,1.16,2560000000.0,0.89,39.10,882900000.0,0.66,1.34,92.80,2660000.0,2.01,2.52,2700000.0,N/A
